name,description,price,category,stock,brand,features,warranty
SoundPro Wireless Headphones,Premium wireless headphones with active noise cancellation and 30-hour battery life. Features Bluetooth 5.0 connectivity and comfortable over-ear design,89.99,audio,50,SoundPro,noise-cancelling|bluetooth|30h-battery|over-ear,2-year
BudMax Sport Earbuds,Waterproof IPX7 sport earbuds with secure fit and sweat resistance. Perfect for workouts with 8-hour battery life,59.99,audio,100,BudMax,waterproof|sport|8h-battery|secure-fit,1-year
SmartFit Fitness Tracker,Advanced fitness tracker with heart rate monitoring and sleep tracking. Includes GPS and 7-day battery life,79.99,wearables,75,SmartFit,heart-rate|sleep-tracking|gps|7-day-battery,1-year
PowerBank Pro 20000mAh,High-capacity portable charger with fast charging support. Dual USB ports and LED battery display,49.99,accessories,120,PowerBank,20000mah|fast-charging|dual-usb|led-display,2-year
UltraView 4K Webcam,Professional 4K webcam with auto-focus and low-light correction. Built-in dual microphones for clear audio,129.99,electronics,40,UltraView,4k|auto-focus|dual-mic|low-light,1-year
QuickCharge USB-C Cable,Premium USB-C charging cable with reinforced connectors. Supports fast charging up to 100W,19.99,accessories,200,QuickCharge,usb-c|fast-charging|100w|reinforced,lifetime
GamePad Pro Controller,Wireless gaming controller with haptic feedback and programmable buttons. Compatible with PC and mobile,69.99,gaming,60,GamePad,wireless|haptic|programmable|multi-platform,1-year
SmartHome Hub Max,Central smart home controller with voice assistant integration. Controls lights and appliances and security devices,149.99,smart-home,30,SmartHome,voice-control|hub|automation|security,2-year
PortaScreen Portable Monitor,15.6-inch portable monitor with USB-C connectivity. Perfect for remote work with 1080p display,199.99,electronics,25,PortaScreen,15.6-inch|usb-c|1080p|portable,1-year
AirPure Mini Air Purifier,Compact air purifier with HEPA filter and quiet operation. Covers rooms up to 200 square feet,89.99,home,45,AirPure,hepa-filter|quiet|200sqft|compact,1-year
EcoBottle Smart Water Bottle,Smart water bottle with hydration tracking and temperature display. Keeps drinks cold for 24 hours,34.99,lifestyle,80,EcoBottle,smart-tracking|temperature-display|24h-cold|eco-friendly,1-year
FlexDesk Standing Desk,Adjustable standing desk with electric height control. Features memory presets and cable management,399.99,furniture,15,FlexDesk,electric|adjustable|memory-presets|cable-management,5-year
LumiLight Smart Bulb,WiFi-enabled smart bulb with 16 million colors and voice control. Energy efficient LED technology,24.99,smart-home,150,LumiLight,wifi|16m-colors|voice-control|energy-efficient,2-year
