category,question,answer
shipping,What are your shipping options?,We offer free standard shipping on orders over $50. Standard shipping takes 5-7 business days and costs $5.99. Express shipping is available for $12.99 and takes 2-3 business days. Next-day shipping is $24.99 for orders placed before 2pm EST.
returns,What is your return policy?,We offer a 30-day return policy on all products. Items must be unused and in original packaging. Return shipping is free for defective items. Refunds are processed within 5-7 business days of receiving the returned item.
warranty,What warranty do you provide?,Most products come with a 1-2 year manufacturer warranty covering manufacturing defects. Extended warranty options are available at checkout. Warranty does not cover accidental damage or normal wear and tear.
payment,What payment methods do you accept?,We accept all major credit cards including Visa MasterCard American Express and Discover. We also accept PayPal Apple Pay Google Pay and Venmo. All transactions are secure and encrypted with SSL.
tracking,How can I track my order?,Once your order ships you will receive a tracking number via email and SMS. You can track your package on our website by entering your order number or directly on the carrier's website using the tracking number provided.
cancellation,Can I cancel my order?,Orders can be cancelled within 24 hours of placement while in pending status. After the order enters processing it cannot be cancelled. If you need to cancel please contact support immediately at 1-800-SUPPORT.
support,How do I contact customer support?,You can reach our support team via email at support@store.com phone at 1-800-SUPPORT or through live chat on our website. Live chat is available Monday through Friday 9am to 6pm EST. We respond to emails within 24 hours.
stock,What if an item is out of stock?,Out of stock items can be backordered and you will be notified when they become available. We also offer email notifications when items are back in stock. Our team can suggest similar in-stock alternatives.
discount,Do you offer any discounts?,We offer a 10% discount for first-time customers using code WELCOME10. Students and military personnel receive 15% off with verification. We also run seasonal sales and send exclusive deals to email subscribers.
international,Do you ship internationally?,We currently ship to the United States Canada and Mexico. International shipping rates vary by location and are calculated at checkout. Customs duties and taxes are the responsibility of the customer.
gift,Can I send items as gifts?,Yes! We offer gift wrapping for $4.99 per item and can include a personalized message. Gift recipients won't see prices on the packing slip. We also offer e-gift cards in any amount.
bulk,Do you offer bulk pricing?,Yes we offer discounts for bulk orders of 10 or more units. Please contact our business sales team at business@store.com for custom quotes. Corporate accounts are available with net-30 payment terms.
account,Do I need an account to place an order?,You can check out as a guest without creating an account. However creating an account allows you to track orders faster view order history save addresses and receive exclusive offers.
security,Is my personal information secure?,Yes your personal information is protected using industry-standard SSL encryption. We do not store your payment details and comply with data protection and privacy regulations.
preorder,Do you accept pre-orders?,Yes we offer pre-orders on select upcoming products. Pre-orders are charged at the time of purchase and shipped once the product becomes available.
price,Do you offer price matching?,Yes we offer price matching on identical products sold by authorized retailers. Please contact customer support within 7 days of purchase with proof of the lower price.
damaged,What if my order arrives damaged?,If your item arrives damaged please contact us within 48 hours of delivery with photos of the damage. We will arrange a replacement or refund at no additional cost.
address,Can I change my shipping address after ordering?,Shipping addresses can be changed within 12 hours of placing an order if it has not yet been processed. Please contact support as soon as possible.
tax,Do you charge sales tax?,Sales tax is applied based on your shipping location and local regulations. The exact tax amount will be calculated and displayed at checkout.
backorder,What is a backorder?,A backorder means the item is temporarily unavailable but will be shipped once it is restocked. You will receive updates via email regarding availability and shipping.
subscription,Do you offer subscription products?,Yes select products are available as subscriptions with scheduled deliveries and discounted pricing. You can manage or cancel subscriptions anytime from your account.
reviews,Are customer reviews verified?,Yes all reviews are submitted by verified purchasers only. We do not edit or remove reviews unless they violate our content guidelines.
restock,How often do you restock items?,Popular items are restocked regularly depending on supplier availability. You can sign up for restock notifications on the product page.
fraud,What happens if my order is flagged for fraud?,If an order is flagged our team may contact you for verification. This helps protect customers from unauthorized transactions and delays.
invoice,Can I get an invoice for my order?,Yes invoices are automatically sent via email once your order is shipped. You can also download invoices from your account dashboard.
coupons,Can I use multiple discount codes?,Only one discount or promo code can be applied per order unless otherwise stated. Discount codes cannot be combined.
referral,Do you have a referral program?,Yes you can earn store credit by referring friends. Once your referral completes their first purchase both of you receive rewards.
installation,Do you provide installation services?,Some products include optional installation services available at checkout. Installation availability depends on location and product type.
returns-international,What is the return policy for international orders?,International returns are accepted within 30 days. Return shipping costs and customs fees are the responsibility of the customer.
warranty-claim,How do I file a warranty claim?,To file a warranty claim contact support with your order number proof of purchase and issue description. Our team will guide you through the process.
environment,Do you use eco-friendly packaging?,We are committed to sustainability and use recyclable or minimal packaging whenever possible. Some products may still require protective materials.
out-of-area,What if you don’t ship to my location?,If your location is not supported you may contact support to check future availability or alternative delivery options.
